planKindId	proofFamily	proofSource	acceptedScope	surfaceAuthorityTiers	sourceReviewGroup	requiredWitnesses	sourceCandidateTarget	maxAuthorityRows	negativeControls	contractId	contractStatus
static_weakness_fixation	static_weakness_fixation	exact_target_fixation	PositionLocal	CertifiedOwner+SupportedLocal	B:static_weakness_fixation	BranchProof+ClaimOnlySurface+Continuation+ExactSlice+NoRivalRelease+NoTacticalVeto+OwnerSeed+StablePersistence	2-5	2	TacticalFirst:tactical:first+RivalOrGenericRelabel:owner:static_weakness_fixation_rival_or_relabel+MissingWitness:owner:static_weakness_fixation_witness_missing	subplan:static_weakness_fixation	Releasable
backward_pawn_targeting	backward_pawn_targeting	carlsbad_fixed_target_probe	PositionLocal	CertifiedOwner+SupportedLocal	B:carlsbad_fixed_target	BranchProof+ClaimOnlySurface+Continuation+ExactSlice+NoRivalRelease+NoTacticalVeto+OwnerSeed+StablePersistence	2-5	2	TacticalFirst:tactical:first+RivalOrGenericRelabel:owner:backward_pawn_targeting_rival_or_relabel+MissingWitness:owner:backward_pawn_targeting_witness_missing	subplan:backward_pawn_targeting	Releasable
break_prevention	neutralize_key_break	counterplay_axis_suppression	MoveLocal	SupportedLocal	A:break_prevention	BranchProof+ClaimOnlySurface+Continuation+ExactSlice+NoRivalRelease+NoTacticalVeto+OwnerSeed+StablePersistence	2-5	2	TacticalFirst:tactical:first+RivalOrGenericRelabel:owner:break_prevention_rival_or_relabel+MissingWitness:owner:break_prevention_witness_missing	runtime:neutralize_key_break	Releasable
prophylaxis_restraint	counterplay_restraint	prophylactic_move	MoveLocal	SupportedLocal	A:prophylaxis_restraint	BranchProof+ClaimOnlySurface+Continuation+ExactSlice+NoRivalRelease+NoTacticalVeto+OwnerSeed+StablePersistence	2-5	2	TacticalFirst:tactical:first+RivalOrGenericRelabel:owner:prophylaxis_restraint_rival_or_relabel+MissingWitness:owner:prophylaxis_restraint_witness_missing	runtime:counterplay_restraint	Releasable
open_file_pressure	half_open_file_pressure	local_file_entry_bind	MoveLocal	SupportedLocal	A:open_file_pressure	BranchProof+ClaimOnlySurface+Continuation+ExactSlice+NoRivalRelease+NoTacticalVeto+OwnerSeed+StablePersistence	2-5	2	TacticalFirst:tactical:first+RivalOrGenericRelabel:owner:open_file_pressure_rival_or_relabel+MissingWitness:owner:open_file_pressure_witness_missing	runtime:half_open_file_pressure	Releasable
key_square_denial	half_open_file_pressure	local_file_entry_bind	MoveLocal	SupportedLocal	A:key_square_denial	BranchProof+ClaimOnlySurface+Continuation+ExactSlice+NoRivalRelease+NoTacticalVeto+OwnerSeed+StablePersistence	2-5	2	TacticalFirst:tactical:first+RivalOrGenericRelabel:owner:key_square_denial_rival_or_relabel+MissingWitness:owner:key_square_denial_witness_missing	runtime:half_open_file_pressure	Releasable
rook_file_transfer	half_open_file_pressure	local_file_entry_bind	MoveLocal	SupportedLocal	A:rook_file_transfer	BranchProof+ClaimOnlySurface+Continuation+ExactSlice+NoRivalRelease+NoTacticalVeto+OwnerSeed+StablePersistence	2-5	2	TacticalFirst:tactical:first+RivalOrGenericRelabel:owner:rook_file_transfer_rival_or_relabel+MissingWitness:owner:rook_file_transfer_witness_missing	runtime:half_open_file_pressure	Releasable
flank_clamp	color_complex_squeeze	color_complex_squeeze_probe	PositionLocal	CertifiedOwner+SupportedLocal	A:flank_clamp	BranchProof+ClaimOnlySurface+Continuation+ExactSlice+NoRivalRelease+NoTacticalVeto+OwnerSeed+StablePersistence	2-5	2	TacticalFirst:tactical:first+RivalOrGenericRelabel:owner:flank_clamp_rival_or_relabel+MissingWitness:owner:flank_clamp_witness_missing	runtime:color_complex_squeeze	Releasable
outpost_entrenchment	outpost_entrenchment	outpost_entrenchment	MoveLocal	SupportedLocal	A:outpost_entrenchment	BranchProof+ClaimOnlySurface+Continuation+ExactSlice+NoRivalRelease+NoTacticalVeto+OwnerSeed+StablePersistence	2-5	2	TacticalFirst:tactical:first+RivalOrGenericRelabel:owner:outpost_entrenchment_rival_or_relabel+MissingWitness:owner:outpost_entrenchment_witness_missing	subplan:outpost_entrenchment	Releasable
iqp_inducement	iqp_inducement	iqp_inducement_probe	MoveLocal	SupportedLocal	C:iqp_inducement	ClaimOnlySurface+Continuation+ExactSlice+NoRivalRelease+NoTacticalVeto+OwnerSeed+StructureTransition	2-5	2	TacticalFirst:tactical:first+RivalOrGenericRelabel:owner:iqp_inducement_rival_or_relabel+MissingWitness:owner:iqp_inducement_witness_missing	subplan:iqp_inducement	Releasable
simplification_window	simplification_window	simplification_window	MoveLocal	SupportedLocal	C:simplification_window	BranchProof+ClaimOnlySurface+Continuation+NoRivalRelease+NoTacticalVeto+OwnerSeed+StablePersistence+StructureTransition	2-5	2	TacticalFirst:tactical:first+RivalOrGenericRelabel:owner:simplification_window_rival_or_relabel+MissingWitness:owner:simplification_window_witness_missing	subplan:simplification_window	Releasable
defender_trade	defender_trade	defender_trade	MoveLocal	SupportedLocal	C:defender_trade	BranchProof+ClaimOnlySurface+Continuation+ExactSlice+NoRivalRelease+NoTacticalVeto+OwnerSeed+StablePersistence+StructureTransition	2-5	2	TacticalFirst:tactical:first+RivalOrGenericRelabel:owner:defender_trade_rival_or_relabel+MissingWitness:owner:defender_trade_witness_missing	subplan:defender_trade	Releasable
queen_trade_shield	queen_trade_shield	queen_trade_shield	MoveLocal	SupportedLocal	C:queen_trade_boundary	ClaimOnlySurface+Continuation+ExactSlice+NoRivalRelease+NoTacticalVeto+OwnerSeed	2-5	2	TacticalFirst:tactical:first+RivalOrGenericRelabel:owner:queen_trade_shield_rival_or_relabel+MissingWitness:owner:queen_trade_shield_witness_missing	subplan:queen_trade_shield	Releasable
bad_piece_liquidation	bad_piece_liquidation	bad_piece_liquidation	MoveLocal	SupportedLocal	C:bad_piece_liquidation	BranchProof+ClaimOnlySurface+Continuation+ExactSlice+NoRivalRelease+NoTacticalVeto+OwnerSeed+StablePersistence+StructureTransition	2-5	2	TacticalFirst:tactical:first+RivalOrGenericRelabel:owner:bad_piece_liquidation_rival_or_relabel+MissingWitness:owner:bad_piece_liquidation_witness_missing	subplan:bad_piece_liquidation	Releasable
central_break_timing	central_break_timing	central_break_timing	MoveLocal	SupportedLocal	A:central_break_timing	ClaimOnlySurface+Continuation+ExactSlice+NoRivalRelease+NoTacticalVeto+OwnerSeed	2-5	2	TacticalFirst:tactical:first+RivalOrGenericRelabel:owner:central_break_timing_rival_or_relabel+MissingWitness:owner:central_break_timing_witness_missing	subplan:central_break_timing	Releasable
