planKindId	planTheme	proofContractStatus	runtimeContract	proofFamilyCandidate	proofSourceCandidate	existingCarrierCanOpen	newMaterializerOrWitnessNeeded	admissionMode	admissionPriority	nextAdmissionUnit	notes
opening_development	opening_principles	Deferred	none	opening_relation	opening_relation_claim	partial: opening relation translators exist but raw opening precedent is support-only	yes: exact move-linked opening relation owner proof would be needed before owner admission	deferred/support-only	P4_later	none; keep opening_relation support-only	Opening precedent remains domain support, not direct owner authority.
prophylaxis_restraint	restriction_prophylaxis	Deferred	runtime:counterplay_restraint	counterplay_restraint	prophylactic_move	yes: CounterplayRestraintProof and named prevented-resource seed already feed the runtime proof contract	needed for natural rows: exact named-resource witness/source evidence; no new source-id runtime gate	SupportedLocal target; current natural pass admitted 0	P1_next	counterplay_restraint	Use the existing AdmissionUnitReview shape; current blockers are witness_missing and contract_mismatch.
break_prevention	restriction_prophylaxis	Deferred	runtime:neutralize_key_break	neutralize_key_break	counterplay_axis_suppression	yes: BreakClampMaterializer plus BreakPreventionWitness already feed the runtime proof contract	no new materializer for clean route clamps; more source rows only after fixed exact replay	SupportedLocal open; tactical-first veto still absolute	P0_open	neutralize_key_break	Current SourceReview admits Maderna-Palermo, Sliwa-Gromek, and Polugaevsky-Giorgadze; Camara-Bazan and Pfleger-Maalouf remain review evidence only.
key_square_denial	restriction_prophylaxis	Deferred	partial: releases only after remap to local_file_entry_bind/half_open_file_pressure or named counterplay restraint	half_open_file_pressure; counterplay_restraint	local_file_entry_bind; prophylactic_move	partial: LocalFileEntryProof and CounterplayRestraintProof consume key-square shapes, but no standalone plan-kind owner is open	yes for standalone key-square denial; existing file-entry pair can be reused only when certified	deferred unless certified into existing runtime proof contract	P2_probe	local_file_entry_bind	Do not admit from broad PositionLocal or key-square text alone.
outpost_entrenchment	piece_redeployment	Deferred	none	outpost_entrenchment	outpost_entrenchment	no	yes: exact outpost stability and best-defense persistence materializer needed	deferred/support-only	P4_later	piece_redeployment_exact_outpost	Current piece-redeployment support is not owner proof.
worst_piece_improvement	piece_redeployment	Deferred	none	worst_piece_improvement	worst_piece_improvement	no	yes: exact before/after piece-quality witness plus rival-story veto needed	deferred/support-only	P4_later	piece_redeployment_quality	Generic improvement prose should stay support-only.
rook_file_transfer	piece_redeployment	Deferred	runtime:half_open_file_pressure when converted to certified file-entry proof	half_open_file_pressure	local_file_entry_bind; rook_file_transfer	partial: existing LocalFileEntryProof can open the file-entry slice, not pure rook transfer	yes for pure rook-transfer ownership; no for already-certified file-entry pair	SupportedLocal/Certified only through file-entry runtime proof contract	P2_probe	open_file_pressure	Prefer shared half_open_file_pressure boundary over a parallel rook-transfer owner.
bishop_reanchor	piece_redeployment	Deferred	none	bishop_reanchor	bishop_reanchor	no	yes: exact bishop route, target, and persistence witness needed	deferred/support-only	P4_later	piece_redeployment_bishop_reanchor	No current owner lane beyond generic plan support.
open_file_pressure	piece_redeployment	Deferred	runtime:half_open_file_pressure	half_open_file_pressure	local_file_entry_bind; open_file_pressure	yes: LocalFileEntryProof already supports the bounded B4 file-plus-entry lane	source/source-witness expansion needed; do not widen beyond certified file-entry pair	SupportedLocal proof target; bounded exact runtime slice exists	P1_next	half_open_file_pressure	AdmissionUnitCatalog already queues this after break/prophylaxis.
flank_clamp	space_clamp	Deferred	none	flank_clamp	flank_clamp	no	yes: exact same-branch clamp, progress, and release-risk witness needed	deferred/support-only	P4_later	none until B8/B9 burden improves	Heavy-piece/local squeeze positives remain closed.
central_space_bind	space_clamp	Deferred	none	central_space_bind	central_space_bind	no	yes: exact route-chain/space-bind materializer and best-defense persistence needed	deferred/support-only	P4_later	route_network_bind_after_B6	Do not reuse B6 route-network text as broad central bind authority.
mobility_suppression	space_clamp	Deferred	none	mobility_suppression	mobility_suppression	no	yes: exact mobility cage plus escape/resource falsification needed	deferred/support-only	P5_last	bounded_color_complex_mobility	Highest-risk B9-style family; keep closed.
static_weakness_fixation	weakness_fixation	Releasable	subplan:static_weakness_fixation	static_weakness_fixation	exact_target_fixation	yes: exact target-fixation packet is live	no for current exact target-fixation lane; new source rows still need exact replay	CertifiedOwner open; SupportedLocal possible when weakened	P0_open	static_weakness_fixation	B21/B21A and source Boleslavsky-Nezhmetdinov are current certified evidence.
minority_attack_fixation	weakness_fixation	Releasable	subplan:minority_attack_fixation contract exists; no separate live slice	minority_attack_fixation	carlsbad_fixed_target_probe; minority_attack_fixation	partial: Carlsbad support exists, but docs keep minority attack absorbed support-only	not recommended as separate materializer until it proves a distinct exact owner	support-only/absorbed despite Releasable contract	P3_defer	backward_pawn_targeting	Keep under Carlsbad/backward-pawn target unless a distinct exact row survives.
backward_pawn_targeting	weakness_fixation	Releasable	subplan:backward_pawn_targeting	backward_pawn_targeting	carlsbad_fixed_target_probe	yes: certified current-position Carlsbad probe is live	no for current Carlsbad lane; source expansion only with exact replay	CertifiedOwner open; SupportedLocal possible when weakened	P0_open	backward_pawn_targeting	B15A/B16B and source Evans-Opsahl are current certified evidence.
iqp_inducement	weakness_fixation	Releasable	subplan:iqp_inducement	iqp_inducement	iqp_inducement_probe	yes: exact IQP inducement probe is live	no for current SupportedLocal lane; additional exact source rows can be reviewed	SupportedLocal open; not CertifiedOwner by default	P0_open	iqp_inducement	Several natural IQP source rows already admit as SupportedLocal.
central_break_timing	pawn_break_preparation	Releasable	subplan:central_break_timing	central_break_timing	central_break_timing	yes: board-backed break support and retained exact rows feed the central_break_timing packet	no for board-backed break support; plan-only rows stay review-only	SupportedLocal open through board-backed break support	P0_open	central_break_timing	Broad generic plan_advance remains closed; release still requires branch proof, stable persistence, tactical veto, and rival veto.
wing_break_timing	pawn_break_preparation	Deferred	none	wing_break_timing	wing_break_timing	no	yes: exact flank-break materializer and transform/release taxonomy needed	deferred/support-only	P3_defer	wing_break_timing	Do after central-break machinery, not before.
tension_maintenance	pawn_break_preparation	Deferred	none	tension_maintenance	tension_maintenance	no	yes: exact keep-tension witness plus conversion/rival arbitration needed	deferred/support-only	P4_later	tension_maintenance	High relabel risk with conversion and decision-timing support.
simplification_window	favorable_exchange	Releasable	subplan:simplification_window	simplification_window	simplification_window; classification_transformation_window; exchange_availability_bridge; capture_exchange_transformation; iqp_simplification_profile; plan_match_transformation	yes: bounded favorable simplification exact lane is live	no for current same-task simplification; new rows need exact same-branch proof	CertifiedOwner open; SupportedLocal possible when weakened	P0_open	simplification_window	K09B/K09F and source Salov-Ljubojevic are current certified evidence.
defender_trade	favorable_exchange	Releasable	subplan:defender_trade; runtime:trade_key_defender remains blocked for CertifiedOwner	defender_trade	defender_trade; exchange_forcing_delta	yes: exact defender-trade SupportedLocal lane is live	no for SupportedLocal defender_trade; yes for any future trade_key_defender CertifiedOwner	SupportedLocal open; trade_key_defender CertifiedOwner closed	P0_open	defender_trade	Aronian-Andreikin is current natural SupportedLocal; do not relabel as trade_key_defender.
queen_trade_shield	favorable_exchange	Releasable	subplan:queen_trade_shield	queen_trade_shield	queen_trade_shield	yes: exact queenless-branch shield lane is live	no for current exact slice; source expansion only with exact replay	SupportedLocal open	P1_next	queen_trade_shield	Carlsen-Anand is current natural SupportedLocal.
bad_piece_liquidation	favorable_exchange	Releasable	subplan:bad_piece_liquidation	bad_piece_liquidation	bad_piece_liquidation	partial: contract and proof catalog row exist, but no admitted materializer/source row yet	yes: exact bad-piece before/after witness and rival/relabel taxonomy needed	SupportedLocal proof target	P1_next	bad_piece_liquidation	Best candidate among unopened direct Releasable subplan contracts.
rook_pawn_march	flank_infrastructure	Deferred	none	rook_pawn_march	rook_pawn_march	no	yes: exact flank-space/progress and counterplay-release witness needed	deferred/support-only	P4_later	rook_pawn_march	Do not treat rook-pawn plans as break-prevention without exact family proof.
hook_creation	flank_infrastructure	Deferred	none	hook_creation	hook_creation	no	yes: exact hook creation, file-opening, and tactical-veto witness needed	deferred/support-only	P5_last	hook_creation	Attack-infrastructure overclaim risk; keep support-only.
rook_lift_scaffold	flank_infrastructure	Deferred	none	rook_lift_scaffold	rook_lift_scaffold	no	yes: exact rook-lift route plus threat/prophylaxis arbitration needed	deferred/support-only	P5_last	rook_lift_scaffold	Very likely to be tactical-first or support-only.
simplification_conversion	advantage_transformation	Deferred	none	simplification_conversion	simplification_conversion	partial: truth layer knows conversion roles, but plan-kind owner path is closed	yes: exact conversion handoff witness distinct from simplification_window needed	deferred/support-only	P3_defer	simplification_window_then_conversion	Do not let same-task simplification masquerade as task-shift conversion.
passer_conversion	advantage_transformation	Deferred	none	passer_conversion	passer_conversion	no	yes: passer creation/conversion witness plus engine path and fortress checks needed	deferred/support-only	P4_later	passer_conversion	Endgame/structure support can remain visible but not owner authority.
passed_pawn_manufacture	advantage_transformation	Deferred	none	passed_pawn_manufacture	passed_pawn_manufacture	no	yes: exact structure-transition and best-defense proof needed	deferred/support-only	P3_defer	passed_pawn_manufacture	More concrete than broad conversion, but still needs new witness.
invasion_transition	advantage_transformation	Deferred	none	invasion_transition	invasion_transition	partial: opening/endgame transition translators exist for their domains, not this plan-kind owner	yes: exact invasion square/route handoff materializer needed	deferred/support-only	P4_later	invasion_transition	Keep separate from move-linked opening/endgame translators.
opposite_bishops_conversion	advantage_transformation	Deferred	none	opposite_bishops_conversion	opposite_bishops_conversion	no	yes: endgame oracle/progress/fortress discrimination required	deferred/support-only	P5_last	opposite_bishops_conversion	Do not open before fortress/progress separation is stronger.
forcing_tactical_shot	immediate_tactical_gain	BackendOnly	backend-only tactical truth contract	forcing_tactical_shot	forcing_tactical_shot	yes as tactical truth, not as strategic owner proof	no strategic materializer; tactical engine/proof lane owns	tactical-first; no strategic admission	X_tactical	none	Tactical truth outranks strategic prose.
defender_overload	immediate_tactical_gain	BackendOnly	backend-only tactical truth contract	defender_overload	defender_overload	yes as tactical motif support, not as strategic owner proof	no strategic materializer; tactical engine/proof lane owns	tactical-first; no strategic admission	X_tactical	none	Keep overload as tactical/support motif unless another legal owner exists.
clearance_break	immediate_tactical_gain	BackendOnly	backend-only tactical truth contract	clearance_break	clearance_break	yes as tactical motif support, not as strategic owner proof	no strategic materializer; tactical engine/proof lane owns	tactical-first; no strategic admission	X_tactical	none	Clearance belongs to tactical-first verification.
battery_pressure	immediate_tactical_gain	BackendOnly	backend-only tactical truth contract	battery_pressure	battery_pressure	yes as tactical motif support, not as strategic owner proof	no strategic materializer; tactical engine/proof lane owns	tactical-first; no strategic admission	X_tactical	none	May support forcing explanation but cannot become strategic admission.
